Russian,English
а,a
американский,American
армия,army
ах,Oh
б,b
бабушка,Granny
бежать,run
без,without
белый,White
берег,Coast
беседа,conversation
близкий,close
богатый,rich
боец,fighter
бой,the battle
более,more
больной,sick
больше,more
большой,big
борьба,wrestling
бояться,afraid
брат,brother
брать,take
бригада,Brigade
бригадир,Brigadier
бросить,throw
броситься,rush
будто,as if
будущий,future
бумага,paper
бы / б,would be / B.
бывать,be
быстро,quickly
быть,to be
в,v
в / во,in / in
вагон,railway carriage
важный,important
ваш,your
вверх,up
вдруг,all of a sudden
ведь,after all
век,century
великий,great
верить,believe
верно,right
вернуться,return
весело,funny
весёлый,happy
весна,Spring
вести,news
весь,all
ветер,wind
вечер,evening
вечером,in the evening
вещь,thing
взгляд,sight
взглянуть,look at
взрослый,adult
взять,take
вид,view
видеть,see
видно,it is seen
висеть,hang
власть,power
вместе,together
вместо,instead of
внимание,Attention
внимательно,attentively
вода,water
военный,military
возвращаться,come back
воздух,air
возле,near
возможность,possibility
война,war
войти,to come in
вокруг,around
волна,wave
волос,hair
вон,won
вообще,generally
вопрос,question
ворота,Gates
восемь,eight
воспитание,upbringing
восьмой,eighth
вот,here
впервые,first
вперёд,forward
впереди,Ahead
впечатление,impression
впрочем,however
враг,enemy
время,time
всё,all
всегда,always
вскоре,soon
вспоминать,recall
вспомнить,recall
встать,stand up
встретить,meet
встретиться,meet
встреча,a meeting
всякий,any
второй,second
входить,enter
вчера,yesterday
вы,you
вызвать,call
выйти,log off
выполнение,performance
выполнить,Follow
выполнять,fulfill
вырасти,grow
высокий,high
выставка,Exhibition
выступать,protrude
выступить,speak
выходить,go out
г,G
газета,newspaper
где,where
гектар,hectare
генерал,General
герой,hero
главный,main
глаз,eye
глядеть,look
говорить,talk
год,year
голова,head
голос,voice
голубь,pigeon
гора,mountain
гореть,burn
город,town
городской,urban
горячий,hot
господин,Mr.
гость,the guest
государство,state
готовить,Cook
готовиться,prepare
готовый,ready
громко,loud
грудь,breast
группа,group
губа,lip
д,d
да,Yes
давать,giving
давно,for a long time
даже,even
далёкий,far
далеко,far
дальше,farther
дать,to give
два,two
двадцать,twenty
двенадцать,twelve
дверь,a door
двести,two hundred
движение,traffic
двор,courtyard
девочка,girl
девушка,young woman
девятый,ninth
девять,nine
девятьсот,nine hundreds
дежурный,duty
действительно,really
делать,make
дело,a business
день,day
деньги,money
деревня,village
дерево,wood
держать,Keep
десяток,Tens
десятый,tenth
десять,ten
деталь,detail
дети,children
директор,director
длинный,long
для,for
до,before
добиться,achieve
добрый,kind
дождь,rain
доклад,report
доктор,doctor
долго,for a long time
должен,should
дом,House
дома,at home
домой,home
дорога,road
дорогой,expensive
доска,board
достать,deliver
друг,friend
другой,another
дружба,friendship
дружина,Druzhina
думать,think
душа,soul
дядя,uncle
е,e
едва,barely
если,if
есть,there is
ехать,drive
ещё,yet
ж,j
ждать,wait
же / ж,Same / J.
железный,iron
жёлтый,yellow
жена,wife
женщина,female
живой,alive
жизнь,life
жить,live
журнал,magazine
з,z
за,per
забыть,forget
завод,plant
завтра,tomorrow
заговорить,speak
задание,exercise
задача,task
зайти,go
закон,law
закончить,Finish
закричать,scratch
зал,Hall
заметить,notice
замечательный,wonderful
заниматься,study
занятие,class
затем,then
зачем,why
звать,call for
звонок,bell
звук,sound
здание,building
здесь,here
здравствовать,Health
зелёный,green
земля,Earth
зерно,corn
знакомый,familiar
знание,knowledge
знать,know
значить,to mean
золотой,gold
зуб,tooth
и,and
и,and
игра,the game
играть,play
идти,go
из / изо,From / from
известный,known
из-за,due to
из-под,from under
или,or
именно,exactly
иметь,have
имя,name
иначе,otherwise
инженер,engineer
иногда,sometimes
иной,other
институт,Institute
интерес,interest
интересно,interesting
интересный,interesting
искать,search
искусство,art
история,history
июль,July
к,To
к / ко,k/c
кабинет,cabinet
каждый,each
казаться,seem
как,how
какой,which
камень,stone
капитан,captain
карман,pocket
карта,map
картина,painting
квартира,apartment
килограмм,kilogram
километр,kilometer
